FPC,CIPC,OLPC,TARPC,Adj_TOTAL_PROG_FUND,Adj_TOTAL_PROG_FUND_PP,ASSED_VAL,ASSED_VAL_PP,CoL,CoL_PP,OVERRIDE_REV,OVERRIDE_REV_PP,STATE_SHARE,MILL_PERCENT_TP,OVERRIDE_MILL,OVERRIDE_PERCENT_TP,COMPOSITE_PERCENT_DIFF,COMPOSITE_DIFF,BETTER
2120.6,0,0,909.2,16703966.2,7877,203751489.2,96082,0,0,452699.8361,213.4772405,64,1.219779104,2.454,2.71,1.767151767,17,1
21079.8,837.2,0,8748.3,162651736.8,7716,1685351090,79951.00001,964400.85,45.75,13386730.6,635.0501713,71,1.036171592,9.102,8.23,0,0,0
2106.1,0,0,598.2,16252773.7,7717,401479524.7,190627,0,0,1914461.569,909.0079146,44,2.470221589,5.424,11.78,2.111111111,19,1
2698.5,0,3,1444.7,21229099.5,7867,549298564.5,203557,187923.54,69.64,0,0,47,2.587479344,0,0,-2.277657267,-21,0
686.3,0,4,266.2,5990026.4,8728,56868876.9,82863,70572.229,102.83,364787.6505,531.5279768,78,0.949392759,6.858,6.09,-1.475237092,-14,0
457.5,0,0,201.3,4141747.5,9053,45578437.5,99625,63148.725,138.03,304006.5786,664.4952538,81,1.100463935,7.324,7.34,-3.519668737,-34,0
5868.1,0,0,2755,47543346.2,8102,495508232.1,84441,0,0,0,0,74,1.042224142,0,0,1.680672269,16,1
3180,0,0,1847.7,26018760,8182,249820800,78560,0,0,499538.688,157.0876377,71,0.960156441,2.201,1.92,-3.483146067,-31,0
1418.7,0,0,941,12064624.8,8504,70278141.9,49537,0,0,0,0,83,0.582514111,0,0,1.119820829,10,1
789.8,0,0,532.8,7104251,8995,36465066,46170,0,0,0,0,84,0.513285158,0,0,-2.84463895,-26,0
902.7,0,0,179.1,7852587.3,8699,137252826.9,152047,739609.191,819.33,511996.7572,567.1837346,65,1.747867571,4.104,6.52,2.109300096,22,1
585.4,0,0,229.8,5043806.4,8616,75898280.8,129652,81511.096,139.24,487241.9958,832.3231906,55,1.504781801,7,9.66,-0.612870276,-6,0
1652.4,0,0,46.7,17374986,10515,2913956176,1763469,1114081.128,674.22,5346264.423,3235.454141,23,16.77098431,2.016,30.77,-1.377410468,-15,0
1487.4,0,0,822.2,12138671.4,8161,81656772.6,54899,0,0,0,0,85,0.672699424,0,0,0.323974082,3,1
16415.8,0,0,11779.4,137515156.6,8377,1018452648,62041.00001,984455.526,59.97,0,0,78,0.740611197,0,0,-1.635768811,-15,0
9578.6,0,191.5,3089.5,73860584.6,7711,696804835.6,72746,556708.232,58.12,0,0,72,0.943405525,0,0,0.837696335,8,1
700.7,0,0,212.7,5894288.4,8412,585955470.1,836243,0,0,368980.5508,526.5884841,40,9.941072278,0.69,6.26,2.137998056,22,1
1103.2,0,116,618.8,9087058.4,8237,58091202.4,52657,0,0,173564.756,157.328459,81,0.639274008,3.357,1.91,2.485875706,22,1
2602,123.8,0,350.5,21097016,8108,875154078,336339,773730.72,297.36,2291056.985,880.498457,54,4.14823631,3.013,10.86,-1.01663586,-11,0
652,0,0,466.3,5933852,9101,34426252,52801,0,0,0,0,82,0.580167015,0,0,20.37691402,173,1
910.4,0,0,141.4,9836872,10805,767716649.6,843274,2294.208,2.52,2890960.869,3175.484259,50,7.804479408,4.038,29.39,-3.880866426,-43,0
516.3,0,264,222.9,4205263.5,8145,33351431.1,64597,0,0,0,0,76,0.793087784,0,0,0.313152401,3,1
3397.5,0,0,821.6,28644322.5,8431,1883475473,554371.0001,650009.7,191.32,5571239.134,1639.805485,25,6.575388449,3.272,19.45,-1.077375122,-11,0
2301,0,0,531.5,17954703,7803,261253239,113539,1157748.15,503.15,983904.4628,427.5986366,63,1.455068563,4.211,5.48,3.199174407,31,1
1857.7,0,0,693.7,14869030.8,8004,1047787385,564024.0001,464592.193,250.09,3616096.538,1946.544942,53,7.046776613,3.726,24.32,0.669642857,6,1
1911.4,0,0,454.3,14910831.4,7801,438236235,229275,402043.876,210.34,973703.4496,509.4189859,39,2.939046276,2.738,6.53,-1.009081736,-10,0
2347,0,0,619.6,18264354,7782,1177281017,501611,263309.93,112.19,3671362.284,1564.278775,26,6.445785145,3.902,20.1,3.348214286,30,1
6430,0,0,777.8,49620310,7717,989339090,153863,679908.2,105.74,4004118.047,622.7244241,43,1.993818842,6.262,8.07,0.689655172,7,1
3789.9,0,0,836.1,29246658.3,7717,554507848.8,146312,418821.849,110.51,333391.8372,87.96850503,63,1.895969937,0.902,1.14,-2.247191011,-22,0
21751.4,0,0,11718.6,173510917.8,7977,1681578983,77309.00002,2545783.856,117.04,13256458.52,609.4531166,72,0.969148803,10,7.64,0.54884742,5,1
1118.3,0,0,424.4,10153045.7,9079,1725998758,1543413,243118.42,217.4,1692469.593,1513.430737,0,16.99981276,1.443,16.67,6.289308176,60,1
2325.5,0,0,1296.9,19285371.5,8293,1268555599,545498,520749.215,223.93,1589203.15,683.3812728,15,6.577812613,2.109,8.24,-3.333333333,-30,0
924.4,0,0,322.8,7748320.8,8382,178015405.6,192574,223103.94,241.35,863954.405,934.6109963,58,2.297470771,5.056,11.15,-3.654822335,-36,0
797.2,0,0,419.9,7189946.8,9019,110046285.2,138041,0,0,864965.1804,1085.003989,69,1.530557711,8.753,12.03,9.181415929,83,1
677.6,0,0,271.4,5876147.2,8672,97108211.2,143312,0,0,1128809.952,1665.894262,72,1.652583026,13.256,19.21,-2.492211838,-24,0
